year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1985,Mujer,Posgrado,Rural,Belice,Bogotá D.C.,Bogotá D.C.,0,B,,,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,,,1,,1,1,,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Educación,Agitación,Tensión,Inquietud,Arrepentimiento,Trabajo","Emoción,Timidez,Educación,Sorpresa,Impresión,Vergüenza","Imprudencia,Aburrición,Nostalgia,Orgullo,Impresión,Disciplina",,
1976,Mujer,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,8208,V,Tolerancia a la ambigüedad,3,Sí,2,2,2,2,5,4,1,1,4,1,2,1,1,1,1,2,3,3,3,1,1,1,1,,,1,,1,,,1,3,2,2,1,1,3,3,3,3,1,1,2,1,1,4,4,3,3,2,3,1,3,2,2,2,"Aburrición,Tensión,Agitación,Imprudencia,Arrepentimiento,Vergüenza","Dedicación,Trabajo,Compasión,Disciplina,Educación,Orgullo","Educación,Trabajo,Compasión,Orgullo,Disciplina,Dedicación",,
1976,Hombre,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,7809,C,Deshumanización,,Sí,1,4,4,4,4,4,1,1,4,1,4,4,4,4,3,4,5,3,4,1,0,0,0,1,,,,1,,1,,3,3,3,1,1,1,2,1,3,2,2,3,2,2,3,5,4,4,4,4,3,4,2,1,3,"Sospecha,Agitación,Dedicación,Tensión,Imprudencia,Educación","Amistad,Dedicación,Trabajo,Disciplina,Educación,Cordialidad","Educación,Imprudencia,Nostalgia,Inquietud,Tensión,Sospecha",,
1973,Hombre,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,3730,P,Confianza,.75,Sí,1,3,2,1,4,1,1,1,3,2,1,1,1,1,1,2,1,2,3,1,1,1,1,,,1,,1,,,1,4,3,3,1,1,4,3,3,3,2,2,2,2,2,2,3,2,2,3,4,1,5,2,3,3,"Cordialidad,Sospecha,Aburrición,Agitación,Tensión,Educación","Aburrición,Cordialidad,Educación,Disciplina,Compasión,Emoción","Educación,Emoción,Dedicación,Disciplina,Trabajo,Orgullo",,
1972,Mujer,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,3569,V,Discriminización,,Sí,3,5,2,2,4,4,1,1,3,4,2,1,2,1,2,1,1,4,3,1,0,1,0,,,1,,1,,,1,4,3,3,1,1,3,3,2,4,1,1,1,1,1,1,4,4,3,3,4,3,4,4,3,4,"Sospecha,Aburrición,Arrepentimiento,Imprudencia,Cordialidad,Agitación","Trabajo,Emoción,Cordialidad,Dedicación,Orgullo,Disciplina","Orgullo,Trabajo,Dedicación,Disciplina,Educación,Cordialidad",,
1970,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Norte de Santander,Villa del Rosario,7621,V,Tolerancia a la ambigüedad,3.5,No,1,5,1,5,5,5,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,1,,1,1,,1,,,,3,4,3,1,1,2,1,1,3,4,1,1,5,3,3,5,1,1,5,5,5,5,5,5,1,"Orgullo,Educación,Dedicación,Trabajo,Disciplina,Emoción","Aburrición,Vergüenza,Agitación,Arrepentimiento,Imprudencia,Extroversión","Vergüenza,Aburrición,Arrepentimiento,Imprudencia,Extroversión,Sospecha",,
1956,Hombre,Título universitario,Estrato 3,Colombia,Cundinamarca,Cajicá,3463,V,Discriminización,.73333335,No,1,5,3,1,1,5,1,1,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,,1,1,,,,,1,5,3,3,1,1,1,3,2,4,1,1,1,1,1,1,3,3,5,5,5,3,3,3,1,3,"Disciplina,Orgullo,Dedicación,Trabajo,Cordialidad,Amistad","Educación,Dedicación,Disciplina,Amistad,Cordialidad,Compasión","Disciplina,Amistad,Educación,Compasión,Cordialidad,Dedicación",,
1971,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,3554,R,Tolerancia a la ambigüedad,2.9000001,No,1,2,2,1,4,3,1,1,3,3,1,3,2,1,1,1,4,1,3,1,1,1,1,,,,,1,,1,1,4,4,3,1,1,2,2,1,2,2,1,2,1,1,2,3,3,3,1,3,2,3,3,4,3,"Agitación,Inquietud,Aburrición,Educación,Emoción,Trabajo","Cordialidad,Disciplina,Dedicación,Inquietud,Agitación,Imprudencia","Orgullo,Inquietud,Disciplina,Trabajo,Educación,Dedicación",,
1975,Mujer,Título universitario,Estrato 5,Colombia,Bogotá D.C.,Bogotá D.C.,670,O,Tolerancia a la ambigüedad,,Sí,2,1,3,4,1,1,2,2,1,1,1,5,1,2,1,4,5,1,4,1,1,0,0,,,,,,1,1,1,3,2,1,0,1,3,1,1,2,4,3,3,3,2,4,5,5,4,3,4,5,4,4,1,4,"Trabajo,Disciplina,Cordialidad,Dedicación,Orgullo,Emoción","Aburrición,Sorpresa,Vergüenza,Sospecha,Educación,Inquietud","Imprudencia,Agitación,Vergüenza,Sospecha,Tensión,Arrepentimiento",,
1952,Mujer,Título universitario,Estrato 4,Colombia,Boyacá,Guateque,5262,P,Discriminización,,Sí,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,,,,,1,,1,1,4,3,3,0,1,2,3,2,4,1,2,1,1,1,2,3,3,3,3,5,4,4,3,3,4,"Imprudencia,Amistad,Inquietud,Trabajo,Emoción,Sospecha","Cordialidad,Educación,Trabajo,Orgullo,Dedicación,Amistad","Disciplina,Inquietud,Tensión,Trabajo,Agitación,Orgullo",,
1953,Hombre,Posgrado,Estrato 6,Colombia,Bogotá D.C.,Bogotá D.C.,2896,B,Confianza,.88,No,2,2,2,2,4,4,1,2,3,2,2,1,1,3,2,4,4,2,1,1,0,1,0,,,1,,1,,,1,5,4,4,1,1,2,3,2,4,3,2,2,2,1,2,4,4,3,3,4,2,4,3,2,4,"Orgullo,Sospecha,Agitación,Tensión,Imprudencia,Inquietud","Trabajo,Educación,Disciplina,Compasión,Dedicación,Cordialidad","Disciplina,Trabajo,Dedicación,Educación,Inquietud,Tensión",,
1956,Mujer,Posgrado,Estrato 6,Colombia,Valle del Cauca,Palmira,5340,L,Discriminización,.36666667,No,1,3,2,2,2,4,2,1,2,2,2,3,3,1,1,2,3,3,3,1,1,1,1,,1,1,,,,,1,4,4,4,1,1,2,2,2,4,1,2,1,1,1,2,3,4,3,3,4,3,4,3,3,4,"Emoción,Agitación,Imprudencia,Sospecha,Tensión,Arrepentimiento","Inquietud,Educación,Orgullo,Trabajo,Dedicación,Disciplina","Disciplina,Trabajo,Orgullo,Dedicación,Educación,Amistad",,
1954,Hombre,Técnico / Tecnológico,Rural,Colombia,Quindío,Armenia,9731,C,Discriminización,,Sí,1,2,2,3,2,2,3,2,2,1,2,4,2,1,3,1,4,1,3,1,1,1,1,,1,,,,1,,1,3,2,2,0,1,1,2,2,2,2,2,2,2,1,1,3,4,2,3,4,1,2,3,2,1,"Disciplina,Dedicación,Compasión,Inquietud,Educación,Amistad","Emoción,Vergüenza,Imprudencia,Nostalgia,Sorpresa,Arrepentimiento","Tensión,Agitación,Sospecha,Imprudencia,Vergüenza,Emoción",,
1968,Hombre,Título universitario,Estrato 3,Colombia,Nariño,Pasto,3075,B,Deshumanización,1,Sí,2,1,3,5,2,2,1,2,2,2,3,2,2,2,4,3,4,2,4,1,1,1,0,,,1,,,,1,1,4,3,3,0,1,2,1,1,3,3,3,3,4,4,5,5,5,5,5,5,1,3,3,3,3,"Inquietud,Amistad,Compasión,Trabajo,Educación,Sospecha","Imprudencia,Emoción,Timidez,Sorpresa,Inquietud,Vergüenza","Orgullo,Sospecha,Imprudencia,Agitación,Tensión,Impresión",,
