company,duration,response_date,year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,experience_dip,occupation,id_last_four,last_name_initial,ie_ambiguity_tolerance_u,ie_ambiguity_tolerance_v,ie_ambiguity_tolerance_w,ie_ambiguity_tolerance_x,ie_ambiguity_tolerance_y,ie_ambiguity_tolerance_z,ie_ambiguity_tolerance_aa,ie_ambiguity_tolerance_ab,ie_ambiguity_tolerance_ac,ie_ambiguity_tolerance_ad,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,fake_news_al,fake_news_am,fake_news_an,fake_news_ao,fake_news_ap,fake_news_aq,fake_news_ar,fake_news_as,fake_news_at,fake_news_au,fake_news_av,fake_news_aw,fake_news_ax,fake_news_ay,fake_news_az,fake_news_ba,fake_news_bb,fake_news_bc,tweet_e_lack_of_information,tweet_e_report,tweet_f_lack_of_information,tweet_f_report,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,complete
SIPopsy,,2022-07-08,1995,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,3665,H,5,5,4,4,5,5,5,5,4,5,4,3,3,1,1,1,1,1,1,"Timidez,Orgullo,Arrepentimiento,Extroversión,Sorpresa,Tensión","Compasión,Trabajo,Tensión,Agitación,Inquietud,Orgullo","Nostalgia,Compasión,Amistad,Inquietud,Orgullo,Trabajo",5,1,5,1,1,1,1,1,5,1,1,1,2,5,5,2,5,1,1,1,1,1,4,4,5,5,4,5,true
SIPopsy,,2022-07-08,1985,Mujer,Bachillerato,Estrato 2,Colombia,Guaviare,El Retorno,No,Empleado de otra compañía o institución,8323,H,4,4,5,5,3,5,5,2,4,5,4,5,5,1,1,3,5,5,4,"Timidez,Imprudencia,Cordialidad,Orgullo,Agitación,Nostalgia","Amistad,Nostalgia,Extroversión,Cordialidad,Inquietud,Timidez","Orgullo,Dedicación,Arrepentimiento,Inquietud,Compasión,Cordialidad",4,3,2,3,2,2,4,4,5,4,3,5,3,4,4,3,4,3,1,1,1,1,3,3,5,4,4,4,true
SIPopsy,,2022-07-08,1993,Hombre,Técnico / Tecnológico,Estrato 2,Angola,Bogotá D.C.,Bogotá D.C.,No,Trabajador independiente,2335,G,4,4,3,4,4,4,4,4,4,4,4,3,4,0,1,3,3,4,3,"Vergüenza,Disciplina,Dedicación,Compasión,Emoción,Amistad","Sorpresa,Nostalgia,Disciplina,Impresión,Timidez,Compasión","Arrepentimiento,Inquietud,Aburrición,Educación,Sorpresa,Impresión",4,3,3,3,4,3,3,3,3,2,3,3,3,4,4,4,3,4,1,1,1,1,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1992,Mujer,Técnico / Tecnológico,Estrato 1,Venezuela,Bogotá D.C.,Bogotá D.C.,No,Desempleado,1453,V,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,"Sospecha,Vergüenza,Inquietud,Nostalgia,Dedicación,Orgullo","Compasión,Orgullo,Sospecha,Arrepentimiento,Timidez,Amistad","Cordialidad,Extroversión,Orgullo,Aburrición,Inquietud,Timidez",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,true
SIPopsy,,2022-07-08,1995,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,No,Desempleado,2147,D,3,3,2,3,3,3,3,3,3,3,2,2,2,0,0,2,2,2,2,"Inquietud,Sorpresa,Vergüenza,Trabajo,Agitación,Dedicación","Trabajo,Disciplina,Timidez,Educación,Vergüenza,Nostalgia","Agitación,Nostalgia,Sospecha,Amistad,Trabajo,Extroversión",1,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,0,0,0,0,3,2,3,3,3,3,true
SIPopsy,,2022-07-08,1998,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,3060,G,5,2,2,3,2,4,2,3,2,2,1,3,1,0,0,1,2,1,5,"Compasión,Trabajo,Aburrición,Disciplina,Amistad,Sospecha","Extroversión,Inquietud,Orgullo,Educación,Sorpresa,Tensión","Imprudencia,Sorpresa,Trabajo,Agitación,Educación,Impresión",2,3,3,3,2,4,2,3,2,4,4,2,3,4,4,4,4,3,1,0,1,1,1,4,4,2,3,1,true
SIPopsy,,2022-07-08,1997,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,No,Empleado de Popsy,9636,T,3,5,5,4,4,4,4,4,4,3,4,4,4,1,1,2,1,2,1,"Tensión,Extroversión,Agitación,Aburrición,Vergüenza,Imprudencia","Imprudencia,Nostalgia,Trabajo,Disciplina,Impresión,Dedicación","Aburrición,Disciplina,Impresión,Sorpresa,Orgullo,Compasión",5,1,1,1,1,1,1,1,5,5,1,2,2,5,5,1,5,1,1,1,1,1,1,2,2,2,2,2,true
SIPopsy,,2022-07-08,1996,Hombre,Bachillerato,Estrato 2,Colombia,Córdoba,Montería,No,Desempleado,3194,J,3,3,3,3,3,2,3,3,3,3,1,4,4,0,1,3,2,4,4,"Agitación,Aburrición,Emoción,Vergüenza,Dedicación,Cordialidad","Agitación,Amistad,Trabajo,Disciplina,Cordialidad,Compasión","Timidez,Educación,Agitación,Inquietud,Dedicación,Sorpresa",5,2,1,2,4,5,5,5,5,5,3,4,5,5,5,2,2,2,1,0,1,0,4,4,4,4,4,4,true
SIPopsy,,2022-07-08,1985,Hombre,Primaria,Estrato 4,Colombia,Atlántico,Suan,No,Desempleado,2673,U,4,4,3,4,5,4,3,4,3,3,4,5,3,1,1,3,4,3,3,"Extroversión,Emoción,Inquietud,Cordialidad,Agitación,Sorpresa","Compasión,Impresión,Emoción,Vergüenza,Cordialidad,Educación","Educación,Nostalgia,Cordialidad,Tensión,Compasión,Dedicación",2,4,5,3,4,1,3,3,3,5,4,2,2,2,3,5,5,3,1,1,1,1,2,3,4,3,4,1,true
SIPopsy,,2022-07-08,1988,Mujer,Posgrado,Rural,Antigua y Barbuda,Bogotá D.C.,Bogotá D.C.,No,Empleado de otra compañía o institución,3583,Y,2,2,2,1,2,2,2,2,1,2,3,2,2,1,0,2,4,4,1,"Dedicación,Disciplina,Timidez,Educación,Vergüenza,Arrepentimiento","Agitación,Emoción,Vergüenza,Extroversión,Cordialidad,Aburrición","Orgullo,Educación,Vergüenza,Extroversión,Arrepentimiento,Tensión",1,3,3,2,3,2,3,2,3,1,2,1,2,2,1,3,1,5,0,0,0,0,2,2,2,2,2,2,true
